Opponent,Goals,Assists,Goal_Contributions,Goals_Forward,Goals_Against,Match_Result,Season,Competition,Competition_Level,Date,Played,Weather,Temperature
Damodar,0,0,0,1,0,W,Fall 21/22,Friendly,1,2021-09-12,Yes,Sunny,17
Real Bby,0,0,0,0,0,D,Fall 21/22,Friendly,1,2021-09-18,Yes,Cloudy,15
Dinamo,1,1,2,7,3,W,Fall 21/22,Friendly,1,2021-09-25,Yes,Cloudy,20
Akal,0,1,1,2,1,W,Fall 21/22,BMSL D3,2,2021-10-02,Yes,Cloudy,13
En Passant,1,1,2,2,4,L,Fall 21/22,BMSL D3,2,2021-10-17,Yes,Rain,10
Celts,0,0,0,0,3,L,Fall 21/22,BMSL D3,2,2021-10-24,Yes,Cloudy,11
Dinamo,2,0,2,6,3,W,Fall 21/22,BMSL D3,2,2021-10-31,Yes,Brisk,6
Wesburn,3,0,3,7,1,W,Fall 21/22,BMSL D3,2,2021-11-06,Yes,Rain,7
Vatos Locos,0,0,0,2,0,W,Fall 21/22,BMSL D3,2,2021-11-13,No,Rain,6
Hastings,1,0,1,1,1,D,Fall 21/22,BMSL D3,2,2021-11-20,Yes,Cloudy,6
Akal,0,0,0,1,5,L,Fall 21/22,BMSL D3,2,2021-11-28,Yes,Cloudy,10
OFK,0,0,0,2,1,W,Fall 21/22,BMSL D3,2,2021-12-05,Yes,Cloudy,3
Combo,0,0,0,6,2,W,Fall 21/22,BMSL D3,2,2021-12-12,No,Rain,4
Real Bby,1,0,1,1,0,W,Fall 21/22,BMSL D3,2,2022-01-30,Yes,Rain,6
EVFC,0,0,0,2,4,L,Fall 21/22,BMSL D3,2,2022-02-05,Yes,Cloudy,6
Lake City,0,0,0,1,0,W,Fall 21/22,BMSL D3,2,2022-02-12,Yes,Brisk,5
Vanchester,2,1,3,7,1,W,Fall 21/22,BMSL D3,2,2022-02-20,Yes,Brisk,5
En Passant,1,0,1,4,1,W,Fall 21/22,BMSL D3,2,2022-02-27,Yes,Rain,8
Saints,0,0,0,2,1,W,Fall 21/22,BMSL D3,2,2022-03-06,Yes,Cloudy,7
Real Bby,0,1,1,1,0,W,Fall 21/22,BMSL Cup,3,2022-03-13,Yes,Rain,10
Akal,0,0,0,0,1,L,Fall 21/22,BMSL Cup,3,2022-03-20,Yes,Rain,5
New West,0,0,0,4,1,W,Sum 22,Friendly,1,2022-04-05,Yes,Cloudy,10
PMSC,0,0,0,1,1,PKL,Sum 22,KSL D2,5,2022-04-12,Yes,Rain,6
PoCo,0,0,0,3,1,W,Sum 22,KSL D2,5,2022-04-19,Yes,Cloudy,10
Viet,0,0,0,1,3,L,Sum 22,KSL D2,5,2022-04-26,No,Brisk,11
Celts,0,0,0,2,0,W,Sum 22,KSL D2,5,2022-05-03,No,Rain,10
Kumovi,0,0,0,3,3,PKL,Sum 22,KSL D2,5,2022-05-11,Yes,Cloudy,12
PoCo,0,0,0,3,1,W,Sum 22,KSL D2,5,2022-05-17,Yes,Rain,13
PMSC,0,0,0,0,0,PKL,Sum 22,KSL D2,5,2022-05-24,Yes,Cloudy,14
New West,0,0,0,1,2,L,Sum 22,KSL D2,5,2022-05-31,No,Sunny,17
Celts,0,0,0,1,1,PKW,Sum 22,KSL D2,5,2022-06-17,Yes,Cloudy,17
Viet,1,0,1,1,6,L,Sum 22,KSL D2,5,2022-06-24,Yes,Sunny,21
Kumovi,1,1,2,2,5,L,Sum 22,KSL D2,5,2022-06-29,Yes,Cloudy,18
PMSC,0,0,0,0,5,L,Sum 22,KSL D2,5,2022-07-06,No,Cloudy,20
Croatia,3,0,3,8,1,W,Fall 22/23,BMSL D2,4,2022-09-17,Yes,Cloudy,16
Hastings,2,1,3,4,1,W,Fall 22/23,BMSL Cup,3,2022-09-24,Yes,Sunny,18
Mexico,0,0,0,2,5,L,Fall 22/23,BMSL D2,4,2022-10-01,Yes,Sunny,19
Legion,0,2,2,3,2,W,Fall 22/23,BMSL D2,4,2022-10-23,Yes,Cloudy,10
Magpies,1,0,1,2,1,W,Fall 22/23,BMSL D2,4,2022-10-29,Yes,Cloudy,11
Canada,1,0,1,4,0,W,Fall 22/23,BMSL Cup,3,2022-11-05,Yes,Brisk,6
HaeTae,0,1,1,2,0,W,Fall 22/23,BMSL D2,4,2022-11-12,Yes,Brisk,4
Celts,1,0,1,2,2,D,Fall 22/23,BMSL D2,4,2022-11-19,Yes,Brisk,2
Roma,0,0,0,1,2,L,Fall 22/23,BMSL D2,4,2022-11-27,Yes,Cloudy,5
Viet,0,0,0,0,1,L,Fall 22/23,BMSL D2,4,2023-01-08,Yes,Rain,7
Real Bby,0,0,0,2,3,L,Fall 22/23,BMSL D2,4,2023-01-15,No,Rain,8
HaeTae,0,0,0,2,1,W,Fall 22/23,BMSL D2,4,2023-01-22,No,Brisk,4
Croatia,0,0,0,0,0,D,Fall 22/23,BMSL D2,4,2023-01-29,No,Brisk,-1
Mexico,0,0,0,0,2,L,Fall 22/23,BMSL D2,4,2023-02-04,No,Cloudy,8
Football Team,0,0,0,3,0,W,Fall 22/23,BMSL Cup,3,2023-02-11,Yes,Brisk,5
Legion,2,0,2,4,1,W,Fall 22/23,BMSL D2,4,2023-02-18,Yes,Brisk,6
Magpies,2,0,2,4,0,W,Fall 22/23,BMSL D2,4,2023-02-25,Yes,Rain,1
Roma,0,0,0,0,1,L,Fall 22/23,BMSL D2,4,2023-03-11,Yes,Brisk,7
Real Bby,1,0,1,1,0,W,Fall 22/23,BMSL D2,4,2023-03-26,Yes,Brisk,8
New West,1,1,2,7,1,W,Sum 23,Friendly,1,2023-04-10,Yes,Cloudy,9
EVFC,0,0,0,1,1,PKW,Sum 23,KSL D2,5,2023-04-13,Yes,Rain,9
PMSC,0,0,0,0,3,L,Sum 23,KSL D2,5,2023-04-20,Yes,Rain,5
LAFC,1,0,1,1,5,L,Sum 23,KSL D2,5,2023-04-27,Yes,Cloudy,15
Quolus,0,1,1,1,5,L,Sum 23,KSL D2,5,2023-05-11,Yes,Sunny,22
EVFC,0,0,0,1,2,L,Sum 23,KSL D2,5,2023-05-18,Yes,Sunny,24
PMSC,1,0,1,1,5,L,Sum 23,KSL D2,5,2023-05-25,Yes,Sunny,21
LAFC,1,0,1,3,4,L,Sum 23,KSL D2,5,2023-06-01,Yes,Sunny,19
Quolus,1,0,1,1,5,L,Sum 23,KSL D2,5,2023-06-15,Yes,Sunny,19
EVFC,0,0,0,0,1,L,Sum 23,KSL D2,5,2023-06-22,No,Sunny,22
PMSC,0,0,0,0,2,L,Sum 23,KSL D2,5,2023-06-29,Yes,Sunny,24
LAFC,0,0,0,3,3,PKL,Sum 23,KSL D2,5,2023-07-06,No,Sunny,26
Quolus,0,0,0,3,5,L,Sum 23,KSL D2,5,2023-07-13,No,Sunny,24
Damodar,1,0,1,2,5,L,Sum 23,Friendly,1,2023-07-23,Yes,Sunny,24
New West,3,0,3,9,1,W,Sum 23,Friendly,1,2023-08-03,Yes,Sunny,24
Juve FC,2,0,2,5,3,W,Sum 23,Friendly,1,2023-08-17,Yes,Sunny,24
Damodar,0,0,0,1,2,L,Sum 23,Friendly,1,2023-08-24,No,Sunny,21
Legion,0,0,0,3,0,W,Fall 23/24,BMSL D2,4,2023-09-10,Yes,Sunny,21
Real Bby,2,0,2,2,0,W,Fall 23/24,BMSL D2,4,2023-09-16,Yes,Sunny,20
Magpies,1,0,1,4,1,W,Fall 23/24,BMSL D2,4,2023-09-24,Yes,Rain,15
HaeTae,1,1,2,8,0,W,Fall 23/24,BMSL D2,4,2023-09-30,Yes,Cloudy,14
EVFC,0,0,0,0,1,L,Fall 23/24,BMSL D2,4,2023-10-14,Yes,Cloudy,15
Croatia,0,0,0,0,0,D,Fall 23/24,BMSL D2,4,2023-10-21,Yes,Cloudy,11
Mariachis,0,0,0,2,2,D,Fall 23/24,BMSL D2,4,2023-10-29,Yes,Brisk,6
Legion,1,0,1,3,1,W,Fall 23/24,BMSL D2,4,2023-11-04,Yes,Cloudy,13
Real Bby,1,0,1,4,2,W,Fall 23/24,BMSL D2,4,2023-11-12,Yes,Rain,8
EVFC,0,0,0,0,1,L,Fall 23/24,BMSL D2,4,2023-11-18,Yes,Brisk,8
Magpies,0,1,1,1,1,D,Fall 23/24,BMSL D2,4,2023-11-26,Yes,Brisk,4
HaeTae,2,0,2,2,0,W,Fall 23/24,BMSL D2,4,2023-12-02,Yes,Brisk,4
Mariachis,0,0,0,3,2,W,Fall 23/24,BMSL D2,4,2023-12-10,Yes,Rain,7
Croatia,0,0,0,1,0,W,Fall 23/24,BMSL D2,4,2023-12-17,Yes,Rain,8
Legion,1,2,3,4,0,W,Fall 23/24,BMSL D2,4,2024-01-07,Yes,Brisk,3
Real Bby,2,1,3,5,0,W,Fall 23/24,BMSL D2,4,2024-01-27,Yes,Rain,11
Magpies,1,0,1,4,1,W,Fall 23/24,BMSL D2,4,2024-02-03,Yes,Brisk,6
HaeTae,2,0,2,5,2,W,Fall 23/24,BMSL D2,4,2024-02-10,Yes,Rain,6
Grizzlies,0,0,0,2,0,W,Fall 23/24,BMSL Cup,3,2024-03-03,Yes,Rain,3
Brazcouver,0,0,0,0,1,L,Fall 23/24,BMSL Cup,3,2024-03-10,Yes,Rain,8
Ukraine,1,0,1,3,4,L,Fall 23/24,Friendly,1,2024-03-17,Yes,Sunny,16
Hounds,2,0,2,5,1,W,Sum 24,KSL D2,5,2024-04-11,Yes,Rain,8
Jamrock,0,0,0,1,3,L,Sum 24,KSL D2,5,2024-04-16,Yes,Cloudy,11
Cosmos,0,0,0,2,2,PKW,Sum 24,KSL D2,5,2024-04-26,Yes,Cloudy,14
Atlixco,0,0,0,4,1,W,Sum 24,KSL D2,5,2024-04-29,Yes,Cloudy,12
Euro SA,0,0,0,0,1,L,Sum 24,KSL D2,5,2024-05-16,No,Sunny,17
SC FC,0,1,1,1,7,L,Sum 24,KSL D2,5,2024-05-24,Yes,Rain,11
Weâ€™R,0,0,0,1,0,W,Sum 24,KSL D2,5,2024-05-30,No,Sunny,16
Bombastic,0,0,0,2,4,L,Sum 24,KSL D2,5,2024-06-07,No,Sunny,22
Twin Arrows,0,0,0,0,1,L,Sum 24,KSL D2,5,2024-06-12,No,Sunny,17
PMSC,0,0,0,1,5,L,Sum 24,KSL D2,5,2024-06-20,No,Sunny,24
Shaheen,0,0,0,0,2,L,Sum 24,KSL D2,5,2024-06-25,No,Sunny,20
GFC Lions,0,0,0,4,1,W,Sum 24,KSL D2,5,2024-07-04,No,Sunny,22
GFC Lions,0,0,0,5,0,W,Sum 24,KSL D2,5,2024-07-18,No,Sunny,25
Pegasus,0,0,0,0,3,L,Sum 24,KSL D2,5,2024-07-30,No,Sunny,20
